rank,word,H1_bits
957,hirse,5.420754
958,carey,5.420419
959,lance,5.420338
960,laden,5.420163
961,amirs,5.420116
962,elain,5.419954
963,noils,5.419766
964,melia,5.419727
965,sales,5.419690
966,karts,5.419461
967,melos,5.419383
968,perla,5.419262
969,panos,5.419207
970,moans,5.419178
971,torsi,5.419011
972,slide,5.419002
973,presa,5.418898
974,lyres,5.418729
975,spier,5.417507
976,karen,5.417417
977,peart,5.416830
978,lopes,5.416667
979,seity,5.416599
980,lande,5.416430
981,nirls,5.416178
982,coirs,5.416170
983,nerds,5.416038
984,baler,5.415819
985,herns,5.415811
986,touse,5.415440
987,sober,5.415017
988,orlet,5.414999
989,sapin,5.414787
990,pitas,5.414753
991,cased,5.414130
992,celts,5.414112
993,aliso,5.414058
994,siree,5.413676
995,outas,5.413610
996,somne,5.413581
997,shore,5.413221
998,labis,5.413118
999,slent,5.412901
1000,meads,5.412729
1001,hoers,5.412640
1002,tenor,5.412437
1003,gades,5.411909
1004,nitre,5.411664
1005,terap,5.411232
1006,tread,5.411105
1007,retin,5.410679
1008,taber,5.410616
1009,coset,5.410596
1010,cards,5.410505
1011,prate,5.410478
1012,salty,5.410435
1013,horse,5.410196
1014,beira,5.410188
1015,gains,5.409813
1016,irade,5.409696
1017,bater,5.409118
1018,trame,5.408619
1019,nomes,5.408299
1020,alids,5.407646
1021,maleo,5.407622
1022,eosin,5.407490
1023,taino,5.407251
1024,crose,5.406751
1025,peins,5.405736
1026,bites,5.405447
1027,korea,5.405104
1028,slake,5.405036
1029,notre,5.404925
1030,sanes,5.404449
1031,naled,5.404406
1032,denat,5.404403
1033,amire,5.404384
1034,soger,5.404301
1035,namer,5.403580
1036,kalis,5.403579
1037,larid,5.403406
1038,slirt,5.403217
1039,ayens,5.402939
1040,miser,5.402407
1041,unais,5.401817
1042,syren,5.401521
1043,coria,5.401288
1044,latin,5.401274
1045,diose,5.401110
1046,doria,5.400733
1047,amens,5.400668
1048,lands,5.400566
1049,belis,5.400309
1050,maius,5.400293
1051,agers,5.400040
1052,spire,5.399791
1053,prats,5.399687
1054,biers,5.399650
1055,ranli,5.399556
1056,layer,5.399529
1057,rathe,5.399446
1058,parsi,5.399304
1059,trams,5.399301
1060,litra,5.398988
1061,thais,5.398808
1062,alnus,5.398705
1063,halte,5.398485
1064,dairt,5.398114
1065,keirs,5.397834
1066,smore,5.397720
1067,setae,5.397649
1068,rases,5.396683
1069,sargo,5.396480
1070,trona,5.395995
1071,niter,5.395958
1072,geira,5.395934
1073,tired,5.395932
1074,salmi,5.395914
1075,scena,5.395829
1076,relay,5.395702
1077,rends,5.395587
1078,beast,5.395371
1079,shiel,5.394640
1080,kesar,5.394607
1081,gaols,5.394402
1082,cents,5.394072
1083,ocrea,5.393960
1084,games,5.393927
1085,simal,5.393917
1086,santy,5.393712
1087,aside,5.393586
1088,relot,5.393561
1089,enols,5.393522
1090,karel,5.393518
1091,noter,5.393456
1092,tsine,5.393418
1093,pians,5.392951
1094,heart,5.392900
1095,haole,5.392624
1096,hiate,5.392575
1097,rotan,5.392333
1098,soree,5.391814
1099,creta,5.391650
1100,sewar,5.391603
1101,panel,5.391524
1102,moise,5.391452
1103,gaine,5.391447
1104,dealt,5.390915
1105,karns,5.390833
1106,crois,5.390340
1107,irons,5.390109
1108,gater,5.389690
1109,kails,5.389674
1110,redan,5.389639
1111,renay,5.389278
1112,boers,5.389104
1113,usnea,5.388966
1114,strey,5.388849
1115,keros,5.388713
1116,maist,5.388623
1117,ulnas,5.388596
1118,leash,5.388539
1119,alice,5.388411
1120,tored,5.388076
1121,birse,5.387858
1122,spair,5.387605
1123,raiae,5.387528
1124,recta,5.387488
1125,beaus,5.387208
1126,vales,5.386905
1127,pause,5.386868
1128,mages,5.386568
1129,carot,5.386132
1130,sadhe,5.385827
1131,loams,5.385704
1132,pants,5.385615
1133,metra,5.385606
1134,tarea,5.385143
1135,louse,5.385029
1136,tours,5.384960
1137,halts,5.384730
1138,yeast,5.383990
1139,altus,5.383652
1140,tenio,5.383535
1141,abris,5.383128
1142,saver,5.383083
1143,irone,5.382898
1144,satyr,5.382795
1145,stern,5.382343
1146,sates,5.382073
1147,aigre,5.381471
1148,resid,5.381313
1149,sprat,5.381205
1150,nurse,5.381106
1151,safen,5.381011
1152,slime,5.380848
1153,strad,5.380556
1154,onset,5.379970
1155,bolas,5.379387
1156,inset,5.378928
1157,aiery,5.378670
1158,speal,5.378641
1159,topas,5.378363
1160,wires,5.377826
1161,leary,5.377727
1162,dents,5.377512
1163,cauls,5.377355
1164,spean,5.377061
1165,luser,5.376888
1166,patel,5.376775
1167,depas,5.375950
1168,lobes,5.375884
1169,sabed,5.375866
1170,casey,5.375832
1171,harst,5.375825
1172,paten,5.375824
1173,talon,5.375737
1174,sinto,5.375583
1175,miens,5.374983
1176,rotal,5.374853
1177,peons,5.374640
1178,balei,5.374269
1179,alder,5.374013
1180,galet,5.373901
1181,readl,5.373782
1182,amsel,5.373430
1183,geast,5.373105
1184,anous,5.373025
1185,hants,5.372501
1186,cadis,5.371884
1187,scran,5.371660
1188,moues,5.371638
1189,fires,5.371435
1190,latro,5.369904
1191,vanes,5.369514
1192,suent,5.368787
1193,goers,5.368757
1194,aiger,5.368385
1195,caids,5.368185
1196,aurin,5.367421
1197,poser,5.367332
1198,sears,5.367181
1199,cairn,5.366868
1200,sabin,5.366852
1201,traps,5.366479
1202,hause,5.365942
1203,spore,5.365481
1204,cosen,5.365435
1205,somal,5.365129
1206,larks,5.365044
1207,deota,5.364921
1208,ulnae,5.364911
1209,girse,5.364898
1210,fores,5.364880
1211,cadre,5.364778
1212,early,5.363893
1213,tapen,5.363710
1214,weals,5.363688
1215,soget,5.363612
1216,osela,5.362866
1217,crosa,5.362720
1218,saeta,5.362642
1219,routs,5.362323
1220,snirt,5.362273
1221,range,5.362047
1222,loges,5.361837
1223,rosin,5.361828
1224,delta,5.360939
1225,aloed,5.360731
1226,dirts,5.360554
1227,stied,5.360542
1228,melts,5.360337
1229,snide,5.360315
1230,cakes,5.360267
1231,menat,5.360233
1232,waise,5.360233
1233,hayes,5.360194
1234,skate,5.360088
1235,reask,5.360002
1236,moire,5.359900
1237,galei,5.359613
1238,tolan,5.359550
1239,betis,5.358944
1240,sergt,5.358650
1241,ourie,5.358465
1242,saury,5.358228
1243,lyase,5.357832
1244,cadie,5.357831
1245,dorts,5.357685
1246,pared,5.357444
1247,moier,5.357097
1248,louis,5.356826
1249,clear,5.356651
1250,sarum,5.356556
1251,gorse,5.356395
1252,dauts,5.356324
1253,hiera,5.356321
1254,ramus,5.355907
1255,lints,5.355855
1256,islet,5.355669
1257,besan,5.355571
1258,entia,5.355273
1259,smite,5.355136
1260,blase,5.355083
1261,rudas,5.354423
1262,salmo,5.354090
1263,poise,5.353950
1264,kains,5.353478
1265,ranid,5.353332
1266,astor,5.352928
1267,spira,5.352891
1268,trays,5.352745
1269,crena,5.352701
1270,nitos,5.352699
1271,smile,5.352520
1272,tonal,5.352066
1273,pearl,5.351930
1274,boats,5.351839
1275,lenad,5.351366
1276,stray,5.351209
1277,kerat,5.351122
1278,hatel,5.351056
1279,snake,5.350513
1280,terga,5.349737
1281,tends,5.349714
1282,adore,5.349691
1283,marcs,5.349450
1284,brats,5.348977
1285,heads,5.348815
1286,sware,5.348587
1287,prise,5.348560
1288,nomas,5.348362
1289,vates,5.348353
1290,elaps,5.348212
1291,areic,5.348090
1292,arpen,5.347956
1293,arias,5.347697
1294,wairs,5.347516
1295,route,5.347477
1296,pages,5.347256
1297,kines,5.347200
1298,spiel,5.347161
1299,nabis,5.347116
1300,poets,5.347044
1301,poret,5.346987
1302,sithe,5.345817
1303,katie,5.345813
1304,slipe,5.345727
1305,reman,5.345435
1306,adios,5.345252
1307,camis,5.345072
1308,deist,5.344583
1309,aegir,5.344578
1310,adiel,5.344524
1311,rebia,5.343721
1312,twaes,5.343592
1313,tsade,5.343521
1314,saris,5.342986
1315,scart,5.342789
1316,lager,5.342671
1317,boris,5.342603
1318,dirls,5.342343
1319,petos,5.342220
1320,goals,5.342108
1321,yetis,5.342013
1322,scian,5.341897
1323,ureal,5.341799
1324,arses,5.341791
1325,teloi,5.341308
1326,psoae,5.340870
